,first_name,last_name,city,postal_code,state,specialty_code,src,specialty,npi
22,Achal,Ahmed,Crystal Lake,60014,IL,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1942421144
23,Eric,Ahn,Torrance,90505,CA,207W00000X,asoprs,,1841457652
24,Bijan,Ahrari,Las Vegas,89148,NV,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1679726467
25,Audrey,Ahuero,Houston,77063,TX,207W00000X,asoprs,,1942360516
26,Salma,Ahwach,Jacksonville,32204,FL,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",
27,Natasha,Akhter,Raleigh,27617,NC,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1992967863
28,Chris,Alabiad,Miami,33136,FL,207W00000X,asoprs,,1730398942
29,Adil,Alavi,Munster,46321,IN,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1649215161
30,Angel,Alejandro,Miami,33186,FL,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1922118728
31,Jimmy,Alele,Cincinnati,45255,OH,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1447368311
32,Maher,Alesali,White Hall,71602,AR,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1801901509
33,Erik,Alexander,Boston,2115,MA,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1285692376
34,Erika,Alford,Tamuning,96913,GU,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1043403447
35,Mark,Alford,Fort Worth,76104,TX,207W00000X,asoprs,,1477563153
36,Moussa,Alhaj,Ashland,41101,KY,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1629029368
37,Sophia,Ali,Toledo,43560,OH,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",
38,somera,ali,Phoenixville,19460,PA,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1215079330
39,Jules,Aljammal,Salt Lake City,84124,UT,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1083846018
40,Richard,Allen,Houston,77030,TX,207W00000X,asoprs,,1104827351
41,Cheryl,Almirante,Newport News,23606,VA,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1245329804
42,Rami,Almokayyad,St Louis Park,55416,MN,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1194929786
43,Rajaa,Almourani,Columbia,65211,MO,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1134539018
44,Joseph,Aloi,Winston Salem,27157,NC,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1194888958
45,Mahmoud,Alsayed,Phoenix,85006,AZ,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1215288568
46,Mohamad,Alsayed,Bay City,48706,MI,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1215288568
47,Abdallah,Altarshan,Evergreen Park,60805,IL,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1174582811
48,George,Alter,Charlotte,28210,NC,207W00000X,asoprs,,1194792549
49,Madiha,Alvi,Danville,17822,PA,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1568690584
50,Arash,Amadi,Seattle,98119,WA,207W00000X,asoprs,,1225112063
51,Suma,Amarnath,Ypsilanti,48197,MI,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1104001841
52,Malena,Amato,Austin,78758,TX,207W00000X,asoprs,,1275611352
53,Elena,Ambrogini,Little Rock,72205,AR,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1003133224
54,Natalia,Anchipolovsky,Hackensack,7601,NJ,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1982725024
55,Richard,Anderson,SLC,84108,UT,207W00000X,asoprs,,
56,Agustin,Andrade,Miami Beach,33140,FL,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1104869064
57,Richard,Angrist,Somerset,8873,NJ,207W00000X,asoprs,,1063441756
58,Christine,Annunziata,Charlotte,28205,NC,207W00000X,asoprs,,1700809621
59,Mc,Antony,Anderson,29621,SC,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",
60,Margaret,Apedo,Wappingers Falls,12590,NY,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1831240886
61,Baha,Arafah,Cleveland,44106,OH,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1578588497
62,Carlos,Arauz-Pacheco,Rockwall,75032,TX,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",
63,Deepa,Aravind,Huntington Station,11746,NY,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1669677332
64,Kathleen,Archer,Houston,77079,TX,207W00000X,asoprs,,1295720167
65,Mary,Arden-Cordone,Stamford,6902,CT,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1649318585
66,Ridha,Arem,Houston,77054,TX,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1760677470
67,Carlos,Arguello,Birmingham,35233,AL,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1053366500
68,Srividya,Ariyan,Peoria,85381,AZ,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1740483619
69,Miguel,Ariza,Dracut,1826,MA,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1104850858
70,Joseph,Armenia,Webster,14580,NY,207W00000X,asoprs,,1770840720
71,Dagmar,Arnold,Olney,20832,MD,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1881649432
72,Shahana,Arshad,Clifton Springs,14432,NY,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1780798637
73,Joe,Arterberry,,,,207W00000X,asoprs,,1619907813
74,Ernest,Asamoah,Indianapolis,46256,IN,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1427079672
75,Mahdere,Asfaw,Fredericksburg,22401,VA,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1083797047
76,Neeraj,Ashri,Kings Mountain,28086,NC,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1871501700
77,Arnold,Asp,La Crosse,54601,WI,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1700888922
78,D,Aspenson,Tulsa,74133,OK,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",
79,Dania,Assad,Southfield,48075,MI,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1033556360
80,Edwin,Augustat,Fort Worth,76109,TX,207W00000X,asoprs,,1447236708
81,Dipa,Avichal,New Hyde Park,11042,NY,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1881074060
82,Akinola,Ayodeji,Dothan,36301,AL,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1295788792
83,Walaa,Ayoub,Lexington,40504,KY,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1396911624
84,Aparna,Ayyagari,Plano,75025,TX,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1932364346
85,Sidra,Azim,Mountain View,94040,CA,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1043598378
86,Ghobad,Azizi,Wilmington,28406,NC,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1134162464
87,Varsha,Babu,Fresno,93720,CA,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1972755452
88,Thien-Giang,Bach-Huynh,Falls Church,22046,VA,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1881649556
89,Samuel,Baharestani,Smithtown,11787,NY,207W00000X,asoprs,,1730355116
90,Gul,Bahtiyar,Brooklyn,11206,NY,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1629378070
91,Joan,Bailey,Phoenix,85004,AZ,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1184615023
92,Rosalie,Bair,Bethesda,20817,MD,207W00000X,asoprs,,1225049554
93,Jasmina,Bajric,Tampa,33612,FL,207W00000X,asoprs,,1356638027
94,Ayla,Bakar,Mchenry,60050,IL,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1720284367
95,Meredith,Baker,Edina,55435,MN,207W00000X,asoprs,,1023245701
96,Sterling,Baker,Edmond,73013,OK,207W00000X,asoprs,,1699833319
97,Kyle,Balch,Gainesville,32608,FL,207W00000X,asoprs,,1376549287
98,Ernest,Baldwin,Salt Lake City,84102,UT,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1215978234
99,Alan,Balsam,Deerfield Beach,33442,FL,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1508922618
100,Vivek,Bansal,CLINTON,8809,NJ,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1831369701
101,Shunzhong,Bao,Little Rock,72205,AR,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1619133519
102,Behin,Barahimi,Nashville,37232,TN,207W00000X,asoprs,,1639360688
103,Sawsan,Barakat,Tarzana,91356,CA,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1811928484
104,Shadi,Barakat,Baltimore,21229,MD,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1629250154
105,Giuseppe,Barbesino,Boston,2114,MA,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1366432635
106,Vanessa,Barboza,Bronx,10016,NY,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1396002713
107,Maan,Barhoum,Libertyville,60048,IL,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1114993979
108,Marla,Barkoff,Chicago,60611,IL,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1831366160
109,Anne,Barmettler,Bronx,10467,NY,207W00000X,asoprs,,1336383538
110,Anne,Barmettler,Hartsdale,10530,NY,207W00000X,tepezza,,1336383538
111,Nicholas,Barna,Hazelton,18202,PA,207W00000X,asoprs,,1154321776
112,Joseph,Barrera,Mission Viejo,92691,CA,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1629054630
113,Rhonda,Barrett,Fort Mill,29715,SC,207W00000X,asoprs,,1871631937
114,George,Bartley,Rochester,55905,MN,207W00000X,asoprs,,1184614000
115,Sabreena,Basu,Atlanta,30322,GA,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1790793586
116,Ruggero,Battan,Grand Rapids,49503,MI,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1134150147
117,Andrew,Bauer,Philadelphia,19104,PA,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1992748974
118,Maheteme,Bayeh,Silver Spring,20904,MD,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1093706871
119,Eric,Baylin,Atlanta,30338,GA,207W00000X,asoprs,,1669483442
120,Gerard,Bazile,San Diego,92123,CA,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1184639031
121,Kevin,Beadles,Martinez,94553,CA,207W00000X,asoprs,,1881663714
122,William,Bearden,Richmond,23226,VA,207W00000X,asoprs,,1841206869
123,Randall,Beatty,Pittsburgh,15212,PA,207W00000X,asoprs,,1952360018
124,Bruce,Becker,Encino,91316,CA,207W00000X,asoprs,,1376584433
125,Edward,Bedrossian Jr,Philadelphia,19107,PA,207W00000X,asoprs,,
126,Shirley,Bembo,Princeton,8540,NJ,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1023041472
127,Nesreen,BenHamed,Huntington,25701,WV,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1992760425
128,Angelita,Beredo,Inglewood,90301,CA,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1619158318
129,Brian,Berelowitz,Las Vegas,89144,NV,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1356308357
130,Mehtap,Berkmen,Wailuku,96793,HI,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1467481150
131,Mark,Berkowitz,Sterling Heights,48313,MI,207W00000X,asoprs,,1447232459
132,A.,Berlin,South Freeport,4078,ME,207W00000X,asoprs,,
133,Carlo,Bernardino,Salinas,93901,CA,207W00000X,asoprs,,1770549412
134,Victor,Bernet,Jacksonville,32224,FL,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1851486336
135,Lauren,Bernstein,Asheville,28806,NC,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1730241597
136,Craig,Berris,Sacramento,95825,CA,207W00000X,asoprs,,1073538104
137,Karen,Berris,Farmington Hills,48334,MI,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1902008444
138,F. Dean,Berry,Los Angeles,90024,CA,207W00000X,asoprs,,
139,Thomas,Bersani,Syracuse,13212,NY,207W00000X,asoprs,,1083614226
140,Todd,Beyer,Tallmadge,44278,OH,207W00000X,asoprs,,1407859275
141,Charles,Beyer-Machule,Wellesley,2482,MA,207W00000X,asoprs,,
142,Ruchi,Bhabhra,Cincinnati,45267,OH,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1154500486
143,Sumit,Bhagra,Austin,55912,MN,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1982684817
144,Rajiv,Bhambri,Melbourne,32901,FL,207RE0101X,tepezza,"Endocrinology, Diabetes & Metabolism",1376537373
145,Arti,Bhan,detroit,48202,MI,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1346318870
146,Bhavika,Bhan,Overland Park,66213,KS,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1699793596
147,Geetha,Bhat,Cherry Hill,8034,NJ,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1700119963
148,Vishal,Bhatia,Evansville,47714,IN,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1467653402
149,Rajib,Bhattacharya,Kansas City,66160,KS,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1477553204
150,Maziar,Bidar,Fresno,93720,CA,207W00000X,asoprs,,1689693657
151,Brian,Biesman,Nashville,37203,TN,207W00000X,asoprs,,1700848934
152,William,Bigham,Coronado,92118,CA,207W00000X,asoprs,,1104893692
153,Smita,Bijlani,Rochester Hills,48307,MI,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1578521118
154,Jurij,Bilyk,Philadelphia,19107,PA,207W00000X,asoprs,,1821098740
155,Chad,Bingham,Salem,97302,OR,207W00000X,asoprs,,1255436168
156,Lindsay,Bischoff,Nashville,37232,TN,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1558565093
157,David,Bishop,Durango,81301,CO,207W00000X,asoprs,,1770655383
158,Rachelle,Bitton,Lake Success,11042,NY,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1770538548
159,Tracy,Black,Durham,27704,NC,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1700853660
160,Evan,Black,Southfield,48034,MI,207W00000X,asoprs,,1932185089
161,John,Blackman,Columbus,43213,OH,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1174694749
162,Richard,Blanchard,Saint Petersburg,33705,FL,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1528153392
163,Alexander,Blandford,Vero Beach,32960,FL,207W00000X,asoprs,,1699031948
164,Howard,Blank,Farmington Hills,48334,MI,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1699787424
165,Sean,Blaydon,Austin,78705,TX,207W00000X,asoprs,,1730170622
166,David,Bleich,Newark,7103,NJ,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1790719193
167,Nathan,Blessing,Palm Beach Gardens,33418,FL,207W00000X,asoprs,,1104186808
168,Romy,Block,Skokie,60077,IL,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1922032093
169,Ingrid,Block-Kurbisch,San Francisco,94117,CA,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1952479966
170,Kristina,Blohm,Phoenix,85054,AZ,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1750339214
171,Eve,Bloomgarden,Chicago,60611,IL,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1710192125
172,Noah,Bloomgarden,Bronx,10461,NY,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1952680795
173,Melissa,Bobadilla,El Paso,79902,TX,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1083684609
174,Ivica,Boban,Franklin,53132,WI,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1184855611
175,Fred,Bodker,Overland Park,66204,KS,207W00000X,asoprs,,1417944208
176,Milton,Boniuk,Houston,77030,TX,207W00000X,asoprs,,1184613291
177,Patricia,Bononi,Pittsburgh,15224,PA,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1730105586
178,Marietta,Borges,Meobourne,32940,FL,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",
179,William,Bornstein,Atlanta,30322,GA,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1629086418
180,Gary,Borodic,Quincy,2169,MA,207W00000X,tepezza,,1568456291
181,Alex,Bossolo,Trujillo Alto,977,PR,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",
182,Michael,Bota,Spokane,99202,WA,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1447488176
183,Laura,Boucai,New York,10021,NY,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1881856755
184,Matthew,Bouchonville,Albuquerque,87131,NM,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",
185,Bert,Bowden,Grant,35747,AL,207W00000X,asoprs,,1740249564
186,Cynthia,Boxrud,Santa Monica,90404,CA,207W00000X,asoprs,,1902950405
187,Nariman,Boyle,Setauket,11733,NY,207W00000X,asoprs,,1104036326
188,Nariman,Boyle,East Setauket,11733,NY,207W00000X,tepezza,,1104036326
189,Michael,Boyle,Severna Park,21146,MD,207W00000X,asoprs,,
190,Andrew,Brackbill,Allentown,18103,PA,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1447455209
191,Alan,Brackup,Langhorne,19047,PA,207W00000X,asoprs,,1417059908
192,Elizabeth,Bradley,Rochester,55905,MN,207W00000X,asoprs,,1316926892
193,Stephen,Brandt,Atlanta,30322,GA,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1104001767
194,Paul,Brannan,Sarasota,34233,FL,207W00000X,asoprs,,1235126186
195,Emily,Bratton,Austin,78705,TX,207W00000X,asoprs,,1972822492
196,Brian,Brazzo,New York,10065,NY,207W00000X,asoprs,,1922083179
197,Elise,Brett,New York,10028,NY,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1407963424
198,Cesar,Briceno,Philadelphia,19104,PA,207W00000X,asoprs,,1427235035
199,Juan,Brito,Rochester,55905,MN,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1003064288
200,Talmage,Broadbent,Spokane,99202,WA,207W00000X,asoprs,,1043507205
201,Wade,Brock,Little Rock,72205,AR,207W00000X,asoprs,,1609885805
202,David,Brown,Rockville,20850,MD,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1114044906
203,Jeffrey,Brown,Houston,77079,TX,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1437152782
204,Mark,Brown,Mobile,36695,AL,207W00000X,asoprs,,1114999729
205,John,Bruch,Greenville,29605,SC,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1447202023
206,Jan,Bruder,San Antonio,78229,TX,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1407963473
207,Richard,Bryant,Dothan,36301,AL,207W00000X,asoprs,,1578586327
208,Jessica,Brzana,Issaquah,98029,WA,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1013128651
209,Maura,Bucciarelli,Mount Laurel,8054,NJ,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1316208390
210,Adam,Buchanan,Saint Louis,63131,MO,207W00000X,asoprs,,
211,Daniel,Buerger,Pittsburgh,15206,PA,207W00000X,asoprs,,1881685048
212,David,Buerger,Pittsburgh,15206,PA,207W00000X,asoprs,,1730160631
213,John,Bullock,Kettering,45429,OH,207W00000X,asoprs,,
214,Lawrence,Buono,Riverhead,11901,NY,207W00000X,tepezza,,1871546192
215,Lawrence,Buono,Southold,11971,NY,207W00000X,tepezza,,1871546192
216,Richard,Burgett,Indianapolis,46290,IN,207W00000X,asoprs,,1336147230
217,Natalia,Burgos Polanco,Melbourne,32901,FL,207RE0101X,tepezza,"Endocrinology, Diabetes & Metabolism",1548688476
218,Cat,Burkat,Madison,53705,WI,207W00000X,asoprs,,1386610871
219,William,Burks,Margate,33063,FL,207W00000X,tepezza,,1356318190
220,Lynn,Burmeister,Minneapolis,55455,MN,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1295761385
221,Sherri-Ann,Burnett-Bowie,Boston,2114,MA,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1376511055
222,Basil,Burney,Montgomery,36106,AL,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1043414485
223,John,Burns,Columbus,43215,OH,207W00000X,asoprs,,1972589190
224,Carrie,Burns,Villanova,19085,PA,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1700988821
225,Michael,Burnstine,Los Angeles,90013,CA,207W00000X,asoprs,,1568478402
226,Allen,Burris,Midlothian,23114,VA,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1487646485
227,John,Burroughs,Colorado Springs,80907,CO,207W00000X,asoprs,,1003866484
228,Aaron,Bussey,Alcoa,37701,TN,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1982672986
229,Maria,Cabanillas,Houston,77030,TX,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1710071204
230,maria,caga-anan,Spring,77379,TX,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",
231,Kenneth,Cahill,Columbus,43215,OH,207W00000X,asoprs,,1164408852
232,Nedim,Cakan,Madera,93636,CA,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1417995531
233,Conley,Call,Spanish Fork,84660,UT,207W00000X,asoprs,,1073594818
234,Michael,Callahan,Birmingham,35233,AL,207W00000X,asoprs,,1902892151
235,Alison,Callahan,Boston,2111,MA,207W00000X,asoprs,,
236,Alison,Callahan,Boston,2116,MA,207W00000X,tepezza,,
237,Christopher,Calvano,Dickinson,77539,TX,207W00000X,asoprs,,1437163664
238,Evelyn,Camacho-Patterson,Chatham,7928,NJ,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1063635332
239,Mark,Campbell,Altoona,16601,PA,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1306841952
240,Ashley,Campbell,Baltimore,21287,MD,207W00000X,asoprs,,1932423860
241,Ahmet,Can,Elmira,14905,NY,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1518214626
242,Jose,Canas,Saint Petersburg,33701,FL,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1992811822
243,Anne,Cappola,Philadelphia,19104,PA,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1275560559
244,Tim,Carey,Seattle,98105,WA,207W00000X,asoprs,,1003988387
245,Jacqueline,Carrasco,Wynnewood,19096,PA,207W00000X,asoprs,,1336148410
246,Richard,Carroll,Minneapolis,55419,MN,207W00000X,asoprs,,1407828007
247,Bryant,Carruth,Syracuse,13212,NY,207W00000X,asoprs,,1760645790
248,Constantin,Carseli,Norwich,6360,CT,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1255428132
249,Keith,Carter,Iowa City,52242,IA,207W00000X,asoprs,,1942201082
250,Susan,Carter,Warren,7928,NJ,207W00000X,asoprs,,
251,Mont,Cartwright,Kissimmee,34744,FL,207W00000X,asoprs,,1023003290
252,Douglas,Casady,West Des Moines,50266,IA,207W00000X,asoprs,,1114906518
253,Paul,Casanova-Romero,Port Saint Lucie,34986,FL,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1316963168
254,Christopher,Case,Jefferson City,65109,MO,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1871552794
255,Beret,Casey,Ashland,54806,WI,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",1124289483
256,Francisco,Castillo,Portland,97213,OR,207W00000X,asoprs,,1831320233
257,Daniel,Castillo,New York,10001,NY,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",
258,Judith,Castillo-Perez,Trumbull,6611,CT,207RE0101X,endocrinologists,"Endocrinology, Diabetes & Metabolism",
